"file","lines","characters","score","state","todo","notImplemented","genericException","asyncVoid","emptyCatch","swallowCatch","taskRun","gcCollect","lockUsage","staticMutable","threadSleep","skiaNativeCtor"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\build_capture.bat","1","38","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\FenBrowser.FenEngine.csproj","22","759","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Program.cs","204","9821","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\README.md","228","6376","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\smoke_tests.js","18","753","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\TestFenEngine.cs","452","22206","58","partial","0","0","0","0","0","7","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\test_output.txt","41","4381","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Adapters\ISvgRenderer.cs","127","4105","100","production","0","0","0","0","0","0","0","0","0","2","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Adapters\ITextMeasurer.cs","21","758","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Adapters\SkiaTextMeasurer.cs","42","1538","100","production","0","0","0","0","0","0","0","0","0","0","0","2"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Adapters\SvgSkiaRenderer.cs","382","16395","82","full","0","0","0","0","0","3","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Assets\ua.css","103","3921","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Compatibility\WebCompatibilityInterventions.cs","306","10522","88","full","0","0","0","0","0","2","0","0","8","1","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\AnimationFrameScheduler.cs","308","10204","94","production","0","0","0","0","0","1","0","0","7","2","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Ast.cs","1160","37489","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\EngineLoop.cs","152","5373","88","full","0","0","0","0","0","2","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\EnginePhase.cs","70","2943","100","production","0","0","0","0","0","0","0","0","0","3","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\ExecutionContext.cs","107","3735","98","production","0","0","0","0","0","0","2","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\FenEnvironment.cs","404","12717","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\FenFunction.cs","275","11493","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\FenObject.cs","604","25086","100","production","0","0","0","0","0","0","0","0","0","1","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\FenRuntime.cs","14411","696413","1","stub","1","0","2","0","0","111","16","0","34","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\FenSymbol.cs","196","8586","100","production","0","0","0","0","0","0","0","0","3","1","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\FenValue.cs","608","25668","94","production","0","0","0","0","0","1","0","0","0","1","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\IDomBridge.cs","21","851","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\InputQueue.cs","426","14793","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Lexer.cs","1888","74182","74","partial","0","0","0","0","0","4","0","0","0","1","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\ModuleLoader.cs","527","20479","22","stub","0","3","0","0","0","8","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Parser.cs","5570","227448","80","full","0","0","0","0","0","2","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\PropertyDescriptor.cs","89","3034","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Bytecode\CodeBlock.cs","40","1454","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Bytecode\OpCode.cs","106","3237","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Bytecode\Compiler\BytecodeCompiler.cs","3880","147746","79","full","0","1","0","0","0","1","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Bytecode\VM\CallFrame.cs","158","5204","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Bytecode\VM\VirtualMachine.cs","3198","146532","65","partial","0","0","0","0","0","5","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\EventLoop\EventLoopCoordinator.cs","380","12772","76","full","0","0","0","0","0","4","0","0","3","2","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\EventLoop\MicrotaskQueue.cs","148","4437","94","production","0","0","0","0","0","1","0","0","8","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\EventLoop\TaskQueue.cs","129","3855","100","production","0","0","0","0","0","0","0","0","5","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Interfaces\IExecutionContext.cs","134","4384","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Interfaces\IHistoryBridge.cs","11","327","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
