"file","lines","non_empty_lines","chars","line_by_line_sha256","file_sha256","changed_vs_first_pass"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Adapters\ISvgRenderer.cs","127","112","3851","b2bbb47bdc413d97fcec89a2ee221baa4bef6e500ce1fed3fbe7cc99a8cc486f","FA5D6D972474C5E8F181CD0620A568BA338004FE5CBE057F1090411122AFBBDD","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Adapters\ITextMeasurer.cs","21","20","716","c832f1102953e7ee516bff488cfbfd98cfaff0b2e9ee216cae36b48b1412d9b9","BCE198EABAED479AAEB12FFA3E0F5ECA5F62F14A3B2500687D908617220EF46F","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Adapters\SkiaTextMeasurer.cs","42","35","1454","f2a0a80266c86cacabc9c30c89641df3eedac5313752a5d54cbd00f003f9dc9a","EE0BE5B56179B9D93FC1CA5831F5509E7C49DB26D04F393739E231A35D7B820B","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Adapters\SvgSkiaRenderer.cs","325","287","13202","93c9a0ed13ae561e8b74219e4194ad3eb982adf5c3d39c7fc237b768bc66d4f1","456B42DBE5C6FB9F03CBDB4E85DD12FC19A9B8BCFF0A504614293CC0BCE902C0","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Assets\ua.css","103","96","3715","9e7c742fcff3b05129df9b575dc4dc26ba8882b5d0c73807180a4e2ebd501299","BF54DBACBBCD01E9BD7EBD71426D351D0307F18AAD337CC06155B9F75433A27C","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\build_capture.bat","1","1","1","dad66f8f3754e2c1a48441db7e4b2813a56a2ddc8b3a03523997a07de37e5f5b","A12BF2ADD59EF37A7912F305C3C3E18D34E077D35FF912ED9D5707914B484D04","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Compatibility\WebCompatibilityInterventions.cs","306","271","9910","188cde37fc19d058723e553b88c828d361e4f06de6bc1b7d9267b7f7a30071f7","C7A0369C20E6F6AFF4D621756A7AFFDBB8DCDBDB7D5BDFDF45C37119710F1661","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\AnimationFrameScheduler.cs","308","257","9588","2cc40ad75f9efbe942927fbcbbef6829e3f3d886a7c50508697bc79a551bdabf","19F1DBB73B5840DE6B2E77860E4994AD9DD7B15249AFA5FECD71D8EBBCF1109D","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Ast.cs","1160","1017","35169","fdebb0472e65fe78ada05b954f98a0d0df8942749012413ab5a6be0007ca3be0","31F0697DB1D79DB30CEB38DC1FBBBC462991F49ACA01D0B613CB0BE98B8D0F7C","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Bytecode\CodeBlock.cs","40","35","1374","a3205544cdffe3eb64aed64860a6bfd483c667f3b826f68006afa3946fad20d0","939DEAC035AD51BFE1F1FFD722E375B89D6B349573DF01983678B9210E0E1D2A","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Bytecode\Compiler\BytecodeCompiler.cs","3665","3254","133658","3f65c06d9e2b66d9521c9e55ab57c2afb2413b2568028a8a566790010d465150","876207FCABD14279B24C94501DCCDA413E6B7AAF599933330AE095287C8C698F","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Bytecode\OpCode.cs","106","95","3025","6173dfa4a4c437638b3781b8d4b9c58c64c3b94de72f97dc1de72626ff92377b","A05473326229D2B2ABD67F82B338D41644A2BC2B9BB12BCF6E14E20CB5A636B8","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Bytecode\VM\CallFrame.cs","158","138","4888","ab8d3bc833d42ed0cc57245f04cb021187b3339b1c2028e06841163cabe8619f","B94394BEBBF385E9419636EAE4A4FAF8831D9A12090CAB745DE547B122D2B842","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Bytecode\VM\VirtualMachine.cs","3049","2720","134077","c2bf2efaf3351d4dd1b69ee36a859a316da70fd87aa661d7ae280bc9531e7711","2F6D2F74E63C85B39D0FB4B3CB10FDEF3286D7079AE87AC6425D6B168C9D9E8B","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\EngineLoop.cs","152","127","5069","6030b6c74595edcc7172ee37ffb337c2b4685f430ecd65e5dbfccc2188efef20","6099FDA15BA1DAE27DA04186DEC067483D80C1CBA90D396A16FE56CB16D45C00","False"
